Year,NumCar,AnnulGDP,GDPgrowth,PerCapGDP,PerCapGDPgrowth,AnnualGNI,GNIgrowth,PerCapGNI,PerCapGNIgrowth,InflationRate,ForExcReserve,UnemploymentRate,CPI,ppp,PopD
1971,NaN,8.75,5.48,134,-4.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443.89
1972,NaN,6.29,13.97,94,-29.33,NaN,NaN,NaN,NaN,NaN,27.047,NaN,NaN,NaN,451.3
1973,NaN,8.09,3.33,120,26.68,8.4,NaN,120,33.33,NaN,14.319,NaN,NaN,NaN,458.16
1974,NaN,12.51,9.59,182,52.24,10.95,9.32,160,33.33,NaN,13.82,NaN,NaN,NaN,465.64
1975,NaN,19.45,-4.09,278,52.49,14.73,-4.23,210,31.25,NaN,14.826,NaN,NaN,NaN,474.61
1976,NaN,10.12,5.66,141,-49.13,14.61,5.58,200,-4.76,NaN,28.891,NaN,NaN,NaN,485.35
1977,NaN,9.65,2.67,131,-6.96,12.75,2.32,170,-15,NaN,24.149,NaN,NaN,NaN,497.62
1978,NaN,13.28,7.07,176,34,12.46,7.2,170,0,NaN,32.126,NaN,NaN,NaN,511.08
1979,NaN,15.57,4.8,201,14.05,15,4.96,190,11.76,NaN,41.365,NaN,NaN,NaN,525.16
1980,NaN,18.14,0.82,228,13.44,18.48,0.5,230,21.05,NaN,33.118,NaN,NaN,NaN,539.45
1981,NaN,20.25,7.23,248,8.74,21.5,9.8,260,13.04,NaN,15.968,NaN,NaN,NaN,553.87
1982,NaN,18.53,2.13,221,-10.87,20.91,2.11,250,-3.85,NaN,20.852,NaN,NaN,NaN,568.53
1983,NaN,17.61,3.88,204,-7.39,19.63,5.11,230,-8,NaN,54.588,NaN,NaN,NaN,583.5
1984,NaN,18.92,4.8,214,4.69,19.39,4.61,220,-4.35,NaN,40.808,NaN,NaN,NaN,598.91
1985,NaN,22.28,3.34,245,14.7,20.47,2.29,230,4.45,NaN,35.619,NaN,NaN,NaN,614.81
1986,NaN,21.77,4.17,234,-4.81,23.03,4.48,250,8.7,NaN,43.425,NaN,24.28,NaN,631.22
1987,NaN,24.3,3.37,254,8.69,26.55,4.18,280,12,9.87,87.625,NaN,26.68,NaN,648.05
1988,NaN,26.58,2.42,271,6.59,28.69,2.36,290,3.57,7.41,1.077,NaN,28.65,NaN,665.08
1989,NaN,28.78,2.84,286,5.59,30.26,2.76,300,3.45,6.05,53.209,NaN,30.38,NaN,682.08
1990,NaN,31.6,5.62,306,7.15,32.62,5.43,320,6.67,6.13,65.956,NaN,32.24,850.505,698.85
1991,NaN,30.96,3.49,293,-4.28,33.7,3.51,320,0,6.36,1.308,2.2,34.29,888.998,715.3
1992,NaN,31.71,5.44,294,0.17,35.34,5.71,330,3.13,3.63,1.853,2.27,35.54,937.573,731.45
1993,NaN,33.17,4.71,301,2.35,35.84,4.97,320,-3.03,3.01,2.447,2.36,36.61,983.451,747.48
1994,NaN,33.77,3.89,300,-0.34,36.6,4.34,320,0,5.31,3.175,2.41,34.56,1021.431,763.65
1995,NaN,37.94,5.12,329,9.98,39.24,5,340,6.25,10.3,2.376,2.46,42.53,1073.104,780.13
